course_name,topic,agency,skills_id,source_pdf
Negotiation Foundations,Negotiation,LinkedIn Learning / PMI,eef1eb3b812ad6529469d1fdff72f6029d2b4c02b9762a61076cc76e6ee16564,CertificateOfCompletion_Negotiation Foundations.pdf
Public Speaking Foundations,Public Speaking,LinkedIn Learning / NASBA,13e594f49630d5cbbead1eff51dcc1ffcda884900f29d4de8db23cae09a14544,CertificateOfCompletion_Public Speaking Foundations-1.pdf
Body Language for Leaders and Managers,Body Language Leadership,LinkedIn Learning,c021f59f90db546c459717d2417f64474192adc167af84bca180620cf3ffe2cd,CertificateOfCompletion_Body Language for Leaders and Managers.pdf
Python Automation and Testing,Test Automation Python (Programming Language),LinkedIn Learning / NASBA,2bd6cbe9de9c36354d216bf1175d16ed853db04d63d301745b5905f439c7b0c0,CertificateOfCompletion_Python Automation and Testing-1.pdf
Public Speaking Foundations,Public Speaking,LinkedIn Learning / PMI,e940fb44ae6042ed10fd21d8262a3de46718b84ab73ff9245c66b05c95b3cf54,CertificateOfCompletion_Public Speaking Foundations-2.pdf
Body Language for Leaders and Managers,Body Language Leadership,LinkedIn Learning / PMI,acc6a1ad90b6ec9fcd0eb1b870659c6a855255b24636c86a0ee0f506ae630435,CertificateOfCompletion_Body Language for Leaders and Managers-1.pdf
Negotiation Foundations,Negotiation,LinkedIn Learning / NASBA,9c0c75cd16796244e778df16e16b2b4efcf1a971c317c88a0a5b00548bc87816,CertificateOfCompletion_Negotiation Foundations-1.pdf
Negotiation Foundations,Negotiation,LinkedIn Learning,b01d1d00ac7b5e81cf26bda33a2f75aa7898462f21a2a7bd9637115e22393eb8,CertificateOfCompletion_Negotiation Foundations-2.pdf
Public Speaking Foundations,Public Speaking,LinkedIn Learning,297d76c1e88987613afe6c6ed72bf549d2ed3f623951a9a92b5b53c6cfced9cc,CertificateOfCompletion_Public Speaking Foundations.pdf
Build Three Real-World Python Applications,Application Development Python (Programming Language),LinkedIn Learning,61331639584d0b335c3bfb254c62cd4697632028e473dce49febaeaf04608b16,CertificateOfCompletion_Build Three RealWorld Python Applications.pdf
How to Prepare for Your Negotiations,Negotiation,LinkedIn Learning,ef4a6597bbbaa7b2ba2ebaca6197646f9cddc043bd02d9a5c8d1a1c698f47330,CertificateOfCompletion_How to Prepare for Your Negotiations.pdf
Programming Foundations: Design Patterns,Software Design Patterns Programming Foundations,LinkedIn Learning,e308055ff7972d411a372198cf96f8c301081e9c9cce93df69fd7ced995aae45,CertificateOfCompletion_Programming Foundations Design Patterns.pdf
Programming Foundations: Secure Coding (2018),Secure Coding Programming Foundations,LinkedIn Learning,b1eddbffc2acbe2e5ca6923dabba9db31b286ae59cba5ac0d05fd89d6d89db34,CertificateOfCompletion_Programming Foundations Secure Coding 2018.pdf
Python Data Structures and Algorithms,Data Structures Python (Programming Language) Algorithms,LinkedIn Learning,667f936eb098bfcf0921004be08587258818c7e2cadf3ffc5d7048cf561beae7,CertificateOfCompletion_Python Data Structures and Algorithms.pdf
Python Projects,Software Projects Python (Programming Language),LinkedIn Learning,1fdf1e0619bc4a6944ff538be45e8b8b04b7faf336ecedd8609403da0afbde42,CertificateOfCompletion_Python Projects-1.pdf
Programming Foundations: Data Structures,Data Structures Programming Foundations Python (Programming Language),LinkedIn Learning,52dcfc94b05406599843bfd74cfacd7ec5a6a2d202bbf1512b00e98512c970b2,CertificateOfCompletion_Programming Foundations Data Structures.pdf
Establishing Credibility as a Speaker,Public Speaking,LinkedIn Learning,c89d31f822e27ac067ee3b9c87b20aff38a25aa0426a04154622ec1b397ff20e,CertificateOfCompletion_Establishing Credibility as a Speaker.pdf
Python GUI Development with Tkinter,Tkinter Python (Programming Language),LinkedIn Learning,7902c1a858c2eb17e052c74ca418e0488d1f0f307995138c0f89e072a4f1267c,CertificateOfCompletion_Python GUI Development with Tkinter.pdf
Level Up: Advanced Python,Python (Programming Language),LinkedIn Learning,a72b6a650cfb716c2c11bcf0199e6f48b2c4d7d60d58655232dc554aef6aad54,CertificateOfCompletion_Level Up Advanced Python-1.pdf
Practice It: Python Data Structures,Data Structures Python (Programming Language),LinkedIn Learning,05b39243978f9956370bca7b0ccbc9867c202a6bd94b9cb6335be6ca454ddd4b,CertificateOfCompletion_Practice It Python Data Structures.pdf
When Negotiation's about More than Money: How to Negotiate (Almost) Anything,Negotiation,LinkedIn Learning,c3cc8cb0af5516bf4c830304893a386510a302376c0125d86bdc7353d63fc15a,CertificateOfCompletion_When Negotiations about More than Money How to Negotiate Almost Anything.pdf
"More Python Tips, Tricks, and Techniques for Data Science",Python (Programming Language) Data Science,LinkedIn Learning / NASBA,d4338c5059675c50c0cfb0bd019801d293cd36f14aba7470649d6aa97bce5716,CertificateOfCompletion_ More Python Tips Tricks and Techniques for Data Science-1.pdf
Python Practice: Real-World Coding Challenges,Python (Programming Language) Coding Practices,LinkedIn Learning,c738105cd728d7c4363d74c0172474ea35b767069e7f3409ad1b18b11ea4228d,CertificateOfCompletion_Python Practice RealWorld Coding Challenges.pdf
"Understanding AI’s Global Impact: Governance, Equity, and Responsibility",AI Equity Artificial Intelligence (AI) Responsible AI,LinkedIn Learning,cc1c68862fecef6bcef9328a572e35ac545f4c468244188f42e6a6dd19784788,CertificateOfCompletion_Understanding AIs Global Impact Governance Equity and Responsibility.pdf
Python Projects: Create an Interactive Quiz Application,Python (Programming Language),LinkedIn Learning,61dd777f9c0a82159956438af858668e6675b18801422a473d8b9797333258f6,CertificateOfCompletion_Python Projects Create an Interactive Quiz Application .pdf
Strategic Negotiation,Strategic Negotiations,LinkedIn Learning,7c2550090d6f8aa28da06237ea48eeafff1f80a4474a6653d8b88ccf82307fb9,CertificateOfCompletion_Strategic Negotiation-1.pdf
Impromptu Speaking,Extemporaneous Speaking,LinkedIn Learning,a3ab51dd73a32d010cc9fef91dce6d2242cb1f5b322e58457a23701a1af58822,CertificateOfCompletion_Impromptu Speaking.pdf
Python Practice: Operations,Python (Programming Language),LinkedIn Learning,59527bd957ae59af8fcf132daece894c9198c0cc1bc58bd18581b510ffe60a54,CertificateOfCompletion_Python Practice Operations.pdf
Programming Foundations: Algorithms,Algorithm Design Data Structures Programming Foundations,LinkedIn Learning,af1d6b52696f80fbbc024a212f9b934d44f0e607db686a65cd313715e03cde8f,CertificateOfCompletion_Programming Foundations Algorithms.pdf
"More Python Tips, Tricks, and Techniques for Data Science",Python (Programming Language) Data Science,LinkedIn Learning,610d818d0446da36dcff6ab77a3ae10b896654ccc6440fa671989fdfec7bcc71,CertificateOfCompletion_ More Python Tips Tricks and Techniques for Data Science.pdf
Building the Classic Snake Game with Python,Game Programming Python (Programming Language),LinkedIn Learning,71b50379ba48eeb9123118a1dbbfada8bc974a12060dfd4fb253b8c8a45baeb4,CertificateOfCompletion_Building the Classic Snake Game with Python.pdf
Python for Data Analysis: Solve Real- World Challenges,Data Analysis Big Data Python (Programming Language),LinkedIn Learning,dbae17043095bdcfdb4f2652c0c608447a56a1a95d56ac121c2cafc3b964130f,CertificateOfCompletion_Python for Data Analysis Solve RealWorld Challenges.pdf
Programming Foundations: Software Testing/QA,Software Testing Programming Foundations Software Quality Assurance,LinkedIn Learning,9d137b2c3745e79ed7bc9c7358ee4bce1b9bf4d5c5716976ea457a69e31e30d6,CertificateOfCompletion_Programming Foundations Software TestingQA.pdf
Python Automation and Testing,Test Automation Python (Programming Language),LinkedIn Learning,a8f897f21fa3d27f4fd01c8a90f07f092c0ba0bd59cc5522b6a508e11d955ebe,CertificateOfCompletion_Python Automation and Testing.pdf
Case Study: Visualize Complex Microservice Data Using Python,Microservices Python (Programming Language),LinkedIn Learning,016d43e459724b6ded75735c5c5a614bcf8980846f5ff25e3d330ccf4d47bf57,CertificateOfCompletion_Case Study Visualize Complex Microservice Data Using Python.pdf
Negotiating with Agility,Negotiation,LinkedIn Learning,78e05c6806f36fbdbc46d90842b62f98319b7b0dfc00baacd1173015b125a5c8,CertificateOfCompletion_Negotiating with Agility.pdf
Python Projects,Software Projects Python (Programming Language),LinkedIn Learning / PMI,0e9b1745ab88eb25409bd0f6db1655e683fa44a460733fa39812837cc938620c,CertificateOfCompletion_Python Projects.pdf
Programming Foundations: Databases,Database Development Databases Programming Foundations,LinkedIn Learning,c7000045b516916159cba767739e3453effb366939ab667518265ede9d5d4506,CertificateOfCompletion_Programming Foundations Databases.pdf
Writing and Delivering Speeches,Speech Writing Public Speaking,LinkedIn Learning,81ee455bce4d8389a6134a3e00f555c2775199965e0e015aecdfe3e3fa797890,CertificateOfCompletion_Writing and Delivering Speeches.pdf
Programming Foundations: APIs and Web Services,REST APIs Programming Foundations GraphQL,LinkedIn Learning,a48423b099091188de4dbe30ca73bce81c143a167a4df9fd0d4f68b6bb672781,CertificateOfCompletion_Programming Foundations APIs and Web Services.pdf
Programming Foundations: Test- Driven Development,Test-Driven Development Programming Foundations,LinkedIn Learning,867eca1bbe9e8a4430a5004bb3a7f07d38e3b10064b59782f66d7ebc3d9abb64,CertificateOfCompletion_Programming Foundations TestDriven Development.pdf
Create an Open-Source Project in Python,Open-Source Development Python (Programming Language),LinkedIn Learning,ee3067170d51b04089c1ba485c1cc188959d65e5fd8c9a11f8df304d38c334af,CertificateOfCompletion_Create an OpenSource Project in Python.pdf
Impromptu Speaking,Extemporaneous Speaking,LinkedIn Learning / NASBA,31c2ad697c19a61af92a50523dbf742c347d20578e94ffd2d89bc9793244de0b,CertificateOfCompletion_Impromptu Speaking-1.pdf
Strategic Negotiation,Strategic Negotiations,LinkedIn Learning / NASBA,77e7e33036e09baa489adda9405d84306d4aba2d93cb8253cb4ac3102d6eb536,CertificateOfCompletion_Strategic Negotiation.pdf
How to Be Both Assertive and Likable,Interpersonal Skills,LinkedIn Learning,9f2a6d59380f7ce0e31312d4e487073f7302b874606579cc427c066eeb042d82,CertificateOfCompletion_How to Be Both Assertive and Likable.pdf
"Programming Foundations: Memory, Pointers, and Garbage Collection",Programming Memory Management Python (Programming Language),LinkedIn Learning,e1d8a986d5fa537772d298730420544e982c30707b1262cc54d97cebf803fb03,CertificateOfCompletion_Programming Foundations Memory Pointers and Garbage Collection.pdf
Level Up: Advanced Python,Python (Programming Language),LinkedIn Learning / NASBA,45c7978203cc9dd56e36c96408dd4d06ea4ce4659b7117f8c1f7e0a6504faaa1,CertificateOfCompletion_Level Up Advanced Python.pdf
Python Practice: Object-Oriented Programming,Python (Programming Language) Object-Oriented Programming (OOP),LinkedIn Learning,ab7d3665e0e14f27a611a60ef73077be4d6829ec4e6b09d64e2d289e70808ff6,CertificateOfCompletion_Python Practice ObjectOriented Programming.pdf
Presenting Technical Information with Stories,Technical Presentations,LinkedIn Learning,d9363c22267d00c2c57bb038a3734491462c4998e4a02ff9967e44288a9bcbd9,CertificateOfCompletion_Presenting Technical Information with Stories.pdf
Establishing Credibility as a Speaker,Public Speaking,LinkedIn Learning / PMI,27fe63801a8fe503994542fcff13c7297f28ae0f94b5e6c1065310078d3839f2,CertificateOfCompletion_Establishing Credibility as a Speaker-2.pdf
"Responsible AI: Global Risks, Governance, and Human Oversight","Governance, Risk Management, and Compliance (GRC) Artificial Intelligence (AI) Responsible AI",LinkedIn Learning,32aefc266a445cfc2fe64435a4994c01ae169bab41ec2b9ff4685337fb1daddb,CertificateOfCompletion_Responsible AI Global Risks Governance and Human Oversight.pdf
AI in Action: Global Case Studies from Public Institutions,"AI Policy, Governance, and Regulation Governance, Risk Management, and Compliance (GRC), Artificial Intelligence (AI)",LinkedIn Learning,78f8bc2e179bd7646ae240800ac2214c9a993a9b9ab3b35d2c93051f5bfb67c2,CertificateOfCompletion_AI in Action Global Case Studies from Public Institutions.pdf
Establishing Credibility as a Speaker,Public Speaking,LinkedIn Learning / NASBA,1f9a576e6e8f3351dc349d999b066e720a8ab29e812e10ac1eca99f4c45a0015,CertificateOfCompletion_Establishing Credibility as a Speaker-1.pdf
Python Practice: Collections,Python (Programming Language),LinkedIn Learning,38bf673bc4df59bc437cb9043dc3bb8727856e9cb791679fdda7ad084effaad1,CertificateOfCompletion_Python Practice Collections.pdf
